0	42.385421,-225.623955,-353.907928,-268.08747,449.046106,215.007652,-530.908004,-298.392671,-270.393514,139.165614,-119.498862,-81.166538,585.260234,14.603828,-59.125344,-151.896165,-11.850469,156.257031,-285.147727,-8.9633,-40.720978,56.983977,-337.698559,174.627646,-131.509212	0
1	2317.626121,57.137921,-73.278629,-298.06013,-3.932655,455.347502,900.228988,322.383776,909.154611,17.154643,184.160168,243.38547,241.341287,-249.987315,62.021094,-58.208762,-300.485866,144.639736,13.078183,169.054249,-96.586706,-285.397038,-234.138961,80.538507,226.909704	0
2	-1081.659699,-300.243876,91.106763,437.12014,-468.480844,11.72494,74.420923,-141.266013,132.088362,-188.989752,-0.9791,121.190735,79.544315,274.461451,-157.769188,12.889527,-71.170234,-41.164488,52.030352,-140.919927,7.406887,104.727147,103.545492,27.712387,-101.123968	0
3	2016.48108,-199.0523,59.157962,27.039287,951.649099,409.391111,863.831199,-90.334442,1125.775189,-65.462153,436.150121,452.559719,263.538746,-266.613128,-145.566391,214.654705,-167.857267,-255.9155,45.233771,235.037638,-167.576546,-93.967193,-180.827448,50.994034,304.978531	0
4	699.590953,-261.916403,1014.699994,1099.071574,427.639368,510.198912,-404.770844,445.832385,-338.344722,6.817006,719.857991,178.518246,177.128595,-83.737689,290.336029,125.324586,-319.689578,-31.253077,229.703093,22.722731,256.088484,352.986137,182.015215,-358.930992,-326.43898	0
5	-28.860934,905.836022,-735.074028,-163.455307,-166.935958,-126.467928,197.70995,810.954463,239.363178,429.100859,-346.169713,-452.494765,576.629526,-27.787909,177.357516,24.802263,-41.228221,-439.945045,84.889054,9.469352,104.535822,108.269381,42.67047,65.485284,265.381459	0
6	1390.15927,-631.629558,-692.733415,27.841592,-1024.336184,1062.275358,-117.102055,-474.492879,56.645027,243.476913,698.260905,221.518052,-252.697937,-187.24387,323.233953,23.877168,31.60299,-29.475776,-90.996067,440.16594,-176.909665,-158.636576,-333.20812,-192.034472,376.748605	0
7	-597.390589,136.370389,376.768932,-911.921366,464.044753,-32.773999,325.699048,-237.421845,678.526627,-468.851203,-53.646573,80.569979,-274.099741,-154.856225,71.887828,-42.349715,-81.543271,-60.442206,-18.545097,-145.137122,-396.002642,-54.885468,-31.993566,100.95673,-40.972588	0
8	2093.931849,-194.448274,1085.351937,-332.774177,-480.444495,-70.68861,196.348794,-55.09455,222.687851,266.699179,212.932633,273.739507,2.868598,562.344772,170.510254,119.838304,-274.885521,32.055323,-44.447398,210.410267,-103.627674,-67.027759,18.886563,21.911091,155.655481	0
9	709.634218,594.751119,-111.57905,1546.802522,379.035134,108.352939,294.959818,139.352721,525.017999,-179.820242,507.333395,503.128967,-89.057737,153.167243,-46.695206,13.827108,230.21255,-38.11741,595.155161,408.510169,88.738899,-628.785094,-276.840053,24.77015,43.972751	0
